Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
4/12/2014,Th,17.6,27.7,9.2,1.8,11.8,SSE,35,13:10,20.8,77,7,SE,7,1010.2,25.9,54,6,SSE,19,1008.1
5/12/2014,Fr,17.7,21.4,0,6.6,0.1,S,35,14:26,19.3,78,8,SSW,15,1008.5,20.5,75,8,S,26,1007.3
6/12/2014,Sa,15.6,22.9,3,3.6,1.4,SE,43,15:17,16.7,86,,S,19,1008.9,22.1,61,,S,28,1006.2
7/12/2014,Su,13.8,17.9,15.2,6,0.1,SE,41,1:32,14.1,92,,SSE,28,1008.9,16.5,80,,SSE,28,1007.7
8/12/2014,Mo,14,21.8,2.4,1.6,4.3,S,33,16:32,16.7,80,7,SSE,19,1009.5,20.3,58,7,S,24,1011.1
9/12/2014,Tu,15.5,21.7,0,4.6,9.1,SSE,33,16:35,16.6,64,7,S,11,1016.4,20.8,49,3,S,19,1015
10/12/2014,We,13.7,21.3,0,5.4,0.4,SSE,31,16:10,16.4,73,7,N,7,1012.5,20,66,7,S,11,1011.1
11/12/2014,Th,16.3,22.1,0.6,2.8,5.8,S,52,16:28,18.6,74,7,S,20,1015.1,19.9,64,6,S,33,1017.4
12/12/2014,Fr,14.3,27.8,0,4.8,13.2,SSW,39,14:31,18.9,63,2,SE,11,1021.3,26.1,36,,SSW,19,1018.5
13/12/2014,Sa,15.1,31.5,0,9.2,13.5,N,65,8:06,21.9,38,,N,44,1016.5,30.3,21,,ENE,9,1011.3
14/12/2014,Su,21.4,26.2,0,14.6,11.1,N,65,4:08,24.5,33,,N,43,1009.1,23,56,,SSE,26,1007.7
15/12/2014,Mo,16.7,24.2,0,6,11,SSE,33,11:44,19.2,66,,SSW,7,1009.3,22.3,58,,S,20,1005.4
16/12/2014,Tu,16.6,32.6,0,4.6,10.4,WSW,85,17:56,20.7,69,,S,11,996.1,32,9,,NW,39,991.6
17/12/2014,We,12.2,22.7,0,14.2,13,S,44,12:47,16.6,47,1,SW,19,1008.9,21.9,31,,ESE,15,1007.9
18/12/2014,Th,12.1,24.6,0,7.2,7,SW,74,14:33,18.9,40,,NW,17,1005.8,23.9,30,,WSW,24,1005.3
19/12/2014,Fr,11.3,21.1,1.8,5.4,11.6,SW,37,8:25,16.6,53,3,SW,24,1016.6,18.8,42,,SE,17,1017.4
20/12/2014,Sa,12.6,23.8,0,5.4,13.4,S,35,15:19,16.4,59,,SSW,13,1019.3,22.4,41,,ESE,13,1017.5
21/12/2014,Su,13.7,33.8,0,7.2,11.6,S,43,16:26,19.2,64,,NE,9,1014.6,32.1,23,,NE,11,1011.4
22/12/2014,Mo,17.9,25.2,0,8.8,4,S,28,11:44,19.9,72,7,Calm,,1013,24.2,64,,S,15,1009.5
23/12/2014,Tu,19.9,26.8,1,4,1.4,SSW,44,15:32,23.3,58,7,NNW,19,1008,22.5,70,7,S,17,1008.2
24/12/2014,We,14.4,23,0.6,4,11.9,SSE,48,15:44,18.6,52,6,SSE,19,1015.8,21.5,52,,S,26,1014.4
25/12/2014,Th,14.4,24.1,0,7,13.1,SSE,50,12:51,18.3,63,,NE,9,1010,22.1,49,,SSW,19,1007.3
26/12/2014,Fr,10.9,21.1,7.4,8.8,12.5,S,50,17:55,14.6,57,,WSW,28,1015.6,19,45,,SSE,26,1017.1
27/12/2014,Sa,12.2,23,0,6.4,13.1,SSE,33,13:06,16.3,54,,SSW,7,1021.2,21,44,,SSE,20,1019.3
28/12/2014,Su,13.4,32.1,0,6.8,13.6,WNW,48,14:19,17.7,65,,NNE,7,1015.8,28,29,,N,15,1009.1
29/12/2014,Mo,17.5,26.4,0,10.6,5.3,WSW,80,12:07,23.5,23,,N,22,1000.3,20.1,46,,WNW,39,1001.8
30/12/2014,Tu,13.4,24.6,0.2,8.6,11.5,WSW,69,9:25,17.7,53,,W,46,1007.7,24.3,30,,WSW,33,1009.7
31/12/2014,We,11.9,25.8,0.2,8.6,11.9,SSE,37,16:29,16.4,58,,S,9,1016,22.8,34,,SSE,13,1013.7
1/11/2014,Sa,13.6,17.9,,12.6,7.1,WSW,76,11:20,13.9,79,,WSW,31,1004,16.3,35,,WSW,44,1008.1
2/11/2014,Su,9,16.8,,5.6,6.3,SW,50,8:53,12.5,59,,WSW,30,1021.2,15.8,49,,S,19,1023.6
3/11/2014,Mo,10.5,23.3,,4,10.3,NNE,33,15:21,13.7,53,,SE,7,1025.9,21.4,40,,NNE,11,1021.4
