Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
15/01/2015,Th,15.9,24,0,6.2,11.5,WSW,35,12:43,18.4,59,,S,13,1014.3,22.8,48,,W,20,1012.7,15/01/2015/01/2015
16/01/2015,Fr,13.2,25.6,0,5,,WSW,35,17:47,18.4,69,,NE,2,1013,24.5,48,,W,15,1012,16/01/2015/01/2015
17/01/2015,Sa,17.9,25.3,0,,,WSW,39,17:29,19.2,59,,SSW,13,1015.9,23.9,38,,WSW,19,1015.3,17/01/2015/01/2015
18/01/2015,Su,15.8,25.8,0,,10,SSE,37,16:38,18.3,50,,S,9,1019,24.1,41,,SE,11,1016.4,18/01/2015/01/2015
19/01/2015,Mo,15.8,31.7,0,19.2,12.4,ESE,31,3:44,20.9,43,,ENE,11,1014.1,29.6,28,,W,6,1010,19/01/2015/01/2015
20/01/2015,Tu,20.7,33.1,0,8,5.6,N,46,12:38,26.9,36,,NE,11,1001.4,29.4,46,,WNW,24,998.8,20/01/2015/01/2015
21/01/2015,We,17.8,28.1,0.6,5.8,10.5,W,43,17:00,20.1,76,,S,11,1010.5,27.2,50,,WSW,11,1010,21/01/2015/01/2015
22/01/2015,Th,15.5,31.5,0,5.2,12.4,WSW,37,13:00,21.6,61,,N,4,1011,30.2,42,,WSW,19,1008.7,22/01/2015/01/2015
23/01/2015,Fr,18.1,26,0,7,,SSW,41,17:13,21.9,71,,SSW,13,1009.9,25.1,48,,WSW,20,1008.7,23/01/2015/01/2015
24/01/2015,Sa,15.2,25.4,0,,,SSW,54,20:18,19.6,58,,WNW,19,1008.9,24.8,46,,W,19,1007.7,24/01/2015/01/2015
